venue,bat_team,bowl_team,batsman,bowler
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,P Kumar
"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,BB McCullum,Z Khan
Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,RT Ponting,AA Noffke
Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,DJ Hussey,JH Kallis
Eden Gardens,Deccan Chargers,Rajasthan Royals,Mohammad Hafeez,SB Joshi
Sawai Mansingh Stadium,Kings XI Punjab,Mumbai Indians,PA Patel,CL White
"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Chennai Super Kings,ML Hayden,B Lee
"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Deccan Chargers,MEK Hussey,S Sreesanth
Dr DY Patil Sports Academy,Kochi Tuskers Kerala,Pune Warriors,MS Dhoni,JR Hopes
Newlands,Pune Warriors,Kochi Tuskers Kerala,SK Raina,IK Pathan
St George's Park,Sunrisers Hyderabad,Sunrisers Hyderabad,JDP Oram,K Goel
Kingsmead,Rising Pune Supergiants,Rising Pune Supergiants,S Badrinath,PP Chawla
SuperSport Park,Gujarat Lions,Gujarat Lions,T Kohli,WA Mota
Buffalo Park,Rising Pune Supergiant,Rising Pune Supergiant,YK Pathan,GD McGrath
New Wanderers Stadium,,,SR Watson,B Geeves
De Beers Diamond Oval,,,M Kaif,MF Maharoof
OUTsurance Oval,,,DS Lehmann,R Bhatia
Brabourne Stadium,,,RA Jadeja,DL Vettori
"Sardar Patel Stadium, Motera",,,M Rawat,R Vinay Kumar
Barabati Stadium,,,D Salunkhe,B Akhil
"Vidarbha Cricket Association Stadium, Jamtha",,,SK Warne,AB Dinda
Himachal Pradesh Cricket Association Stadium,,,SK Trivedi,I Sharma
Nehru Stadium,,,L Ronchi,AB Agarkar
Holkar Cricket Stadium,,,ST Jayasuriya,M Kartik
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,,,DJ Thornely,Mohammad Hafeez
Subrata Roy Sahara Stadium,,,RV Uthappa,DJ Hussey
Shaheed Veer Narayan Singh International Stadium,,,PR Shah,MM Patel
JSCA International Stadium Complex,,,AM Nayar,SR Watson
Sheikh Zayed Stadium,,,SM Pollock,SK Trivedi
Sharjah Cricket Stadium,,,Harbhajan Singh,SK Warne
Dubai International Cricket Stadium,,,AC Gilchrist,D Salunkhe
Maharashtra Cricket Association Stadium,,,Y Venugopal Rao,Pankaj Singh
"Punjab Cricket Association IS Bindra Stadium, Mohali",,,VVS Laxman,YK Pathan
Saurashtra Cricket Association Stadium,,,A Symonds,Mohammad Asif
Green Park,,,RG Sharma,VY Mahesh
,,,SB Styris,SM Pollock
,,,AS Yadav,A Nehra
,,,SB Bangar,DS Kulkarni
,,,WPUJC Vaas,Harbhajan Singh
,,,RP Singh,DJ Bravo
,,,K Goel,VS Yeligati
,,,JR Hopes,AM Nayar
,,,KC Sangakkara,MA Khote
,,,DPMD Jayawardene,Sohail Tanvir
,,,Yuvraj Singh,JDP Oram
,,,IK Pathan,MS Gony
,,,S Sohal,P Amarnath
,,,B Lee,M Muralitharan
,,,PP Chawla,Joginder Sharma
,,,WA Mota,RP Singh
,,,Shahid Afridi,DNT Zoysa
,,,RR Sarwan,SB Bangar
,,,S Sreesanth,Shahid Afridi
,,,VRV Singh,PP Ojha
,,,S Chanderpaul,D Kalyankrishna
,,,R Dravid,VRV Singh
,,,LRPL Taylor,Yuvraj Singh
,,,JH Kallis,DW Steyn
,,,V Kohli,CRD Fernando
,,,MV Boucher,ST Jayasuriya
,,,P Kumar,V Kohli
,,,SB Joshi,Gagandeep Singh
,,,Z Khan,Umar Gul
,,,R Vinay Kumar,SC Ganguly
,,,WP Saha,LR Shukla
,,,LR Shukla,PJ Sangwan
,,,AB Agarkar,Shoaib Malik
,,,M Kartik,V Sehwag
,,,I Sharma,A Kumble
,,,AM Rahane,DP Vijaykumar
,,,DJ Bravo,SB Styris
,,,MA Khote,RR Raje
,,,G Gambhir,JA Morkel
,,,V Sehwag,L Balaji
,,,S Dhawan,CK Kapugedera
,,,Shoaib Malik,DR Smith
,,,MK Tiwary,WPUJC Vaas
,,,KD Karthik,Y Venugopal Rao
,,,R Bhatia,AD Mascarenhas
,,,MF Maharoof,A Mishra
,,,VY Mahesh,DJ Thornely
