,Team 1,Team 2,Winner,Ground,Match Date,Margin Value,Margin Type
0,Australia,England,Australia,Melbourne,1971-01-05,5.0,wickets
1,England,Australia,England,Manchester,1972-08-24,6.0,wickets
2,England,Australia,Australia,Lord's,1972-08-26,5.0,wickets
3,England,Australia,England,Birmingham,1972-08-28,2.0,wickets
4,New Zealand,Pakistan,New Zealand,Christchurch,1973-02-11,22.0,runs
5,England,New Zealand,England,Swansea,1973-07-18,7.0,wickets
6,England,New Zealand,no result,Manchester,1973-07-20,4.0,wickets
7,England,West Indies,England,Leeds,1973-09-05,1.0,wicket
8,England,West Indies,West Indies,The Oval,1973-09-07,8.0,wickets
9,New Zealand,Australia,Australia,Dunedin,1974-03-30,7.0,wickets
10,New Zealand,Australia,Australia,Christchurch,1974-03-31,31.0,runs
11,England,India,England,Leeds,1974-07-13,4.0,wickets
13,England,Pakistan,Pakistan,Nottingham,1974-08-31,7.0,wickets
14,England,Pakistan,Pakistan,Birmingham,1974-09-03,8.0,wickets
15,Australia,England,England,Melbourne,1975-01-01,3.0,wickets
16,New Zealand,England,no result,Dunedin,1975-03-08,69.0,wickets
17,New Zealand,England,no result,Wellington,1975-03-09,136.0,wickets
18,England,India,England,Lord's,1975-06-07,202.0,runs
19,East Africa,New Zealand,New Zealand,Birmingham,1975-06-07,181.0,runs
20,Australia,Pakistan,Australia,Leeds,1975-06-07,73.0,runs
21,Sri Lanka,West Indies,West Indies,Manchester,1975-06-07,9.0,wickets
22,England,New Zealand,England,Nottingham,1975-06-11,80.0,runs
23,East Africa,India,India,Leeds,1975-06-11,10.0,wickets
24,Australia,Sri Lanka,Australia,The Oval,1975-06-11,52.0,runs
25,Pakistan,West Indies,West Indies,Birmingham,1975-06-11,1.0,wicket
28,Australia,West Indies,West Indies,The Oval,1975-06-14,7.0,wickets
29,Pakistan,Sri Lanka,Pakistan,Nottingham,1975-06-14,192.0,runs
26,England,East Africa,England,Birmingham,1975-06-14,196.0,runs
27,India,New Zealand,New Zealand,Manchester,1975-06-14,4.0,wickets
31,New Zealand,West Indies,West Indies,The Oval,1975-06-18,5.0,wickets
30,England,Australia,Australia,Leeds,1975-06-18,4.0,wickets
32,Australia,West Indies,West Indies,Lord's,1975-06-21,17.0,runs
33,Australia,West Indies,Australia,Adelaide,1975-12-20,5.0,wickets
34,New Zealand,India,New Zealand,Christchurch,1976-02-21,9.0,wickets
35,New Zealand,India,New Zealand,Auckland,1976-02-22,80.0,runs
36,England,West Indies,West Indies,Scarborough,1976-08-26,6.0,wickets
39,Pakistan,New Zealand,New Zealand,Sialkot,1976-10-16,1.0,run
40,West Indies,Pakistan,West Indies,Albion,1977-03-16,4.0,wickets
41,England,Australia,England,Manchester,1977-06-02,2.0,wickets
42,England,Australia,England,Birmingham,1977-06-04,101.0,runs
43,England,Australia,Australia,The Oval,1977-06-06,2.0,wickets
44,Pakistan,England,England,Sahiwal,1977-12-23,3.0,wickets
45,Pakistan,England,England,Sialkot,1977-12-30,6.0,wickets
46,Pakistan,England,Pakistan,Lahore,1978-01-13,36.0,runs
47,West Indies,Australia,West Indies,St John's,1978-02-22,44.0,runs
48,West Indies,Australia,Australia,Castries,1978-04-12,2.0,wickets
50,England,Pakistan,England,The Oval,1978-05-26,94.0,runs
51,England,New Zealand,England,Scarborough,1978-07-15,19.0,runs
52,England,New Zealand,England,Manchester,1978-07-17,126.0,runs
53,Pakistan,India,India,Quetta,1978-10-01,4.0,runs
54,Pakistan,India,Pakistan,Sialkot,1978-10-13,8.0,wickets
55,Pakistan,India,Pakistan,Sahiwal,1978-11-03,8.0,wickets
56,Australia,England,no result,Sydney,1979-01-13,7.0,wickets
57,Australia,England,England,Melbourne,1979-01-24,7.0,wickets
58,Australia,England,Australia,Melbourne,1979-02-04,4.0,wickets
59,Australia,England,Australia,Melbourne,1979-02-07,6.0,wickets
62,England,Australia,England,Lord's,1979-06-09,6.0,wickets
63,Canada,Pakistan,Pakistan,Leeds,1979-06-09,8.0,wickets
60,India,West Indies,West Indies,Birmingham,1979-06-09,9.0,wickets
61,New Zealand,Sri Lanka,New Zealand,Nottingham,1979-06-09,9.0,wickets
64,India,New Zealand,New Zealand,Leeds,1979-06-13,8.0,wickets
68,New Zealand,West Indies,West Indies,Nottingham,1979-06-16,32.0,runs
69,Australia,Canada,Australia,Birmingham,1979-06-16,7.0,wickets
70,England,Pakistan,England,Leeds,1979-06-16,14.0,runs
71,England,New Zealand,England,Manchester,1979-06-20,9.0,runs
72,Pakistan,West Indies,West Indies,The Oval,1979-06-20,43.0,runs
73,England,West Indies,West Indies,Lord's,1979-06-23,92.0,runs
74,Australia,West Indies,Australia,Sydney,1979-11-27,5.0,wickets
75,England,West Indies,England,Sydney,1979-11-28,2.0,runs
76,Australia,England,England,Melbourne,1979-12-08,3.0,wickets
77,Australia,West Indies,West Indies,Melbourne,1979-12-09,80.0,runs
78,Australia,England,England,Sydney,1979-12-11,72.0,runs
79,Australia,West Indies,Australia,Sydney,1979-12-21,7.0,runs
80,England,West Indies,West Indies,Brisbane,1979-12-23,9.0,wickets
81,Australia,England,England,Sydney,1979-12-26,4.0,wickets
82,Australia,England,England,Sydney,1980-01-14,2.0,wickets
83,England,West Indies,West Indies,Adelaide,1980-01-16,107.0,runs
84,Australia,West Indies,Australia,Sydney,1980-01-18,9.0,runs
85,England,West Indies,West Indies,Melbourne,1980-01-20,2.0,runs
86,England,West Indies,West Indies,Sydney,1980-01-22,8.0,wickets
87,New Zealand,West Indies,New Zealand,Christchurch,1980-02-06,1.0,wicket
