Team 1,Team 2,Winner,Ground,Match Date,Margin Value,Margin Type
Australia,England,Australia,Melbourne,1971-01-05,5,wickets
England,Australia,England,Manchester,1972-08-24,6,wickets
England,Australia,Australia,Lord's,1972-08-26,5,wickets
England,Australia,England,Birmingham,1972-08-28,2,wickets
New Zealand,Pakistan,New Zealand,Christchurch,1973-02-11,22,runs
England,New Zealand,England,Swansea,1973-07-18,7,wickets
England,New Zealand,no result,Manchester,1973-07-20,,
England,West Indies,England,Leeds,1973-09-05,1,wicket
England,West Indies,West Indies,The Oval,1973-09-07,8,wickets
New Zealand,Australia,Australia,Dunedin,1974-03-30,7,wickets
New Zealand,Australia,Australia,Christchurch,1974-03-31,31,runs
England,India,England,Leeds,1974-07-13,4,wickets
England,India,England,The Oval,,6,wickets
England,Pakistan,Pakistan,Nottingham,1974-08-31,7,wickets
England,Pakistan,Pakistan,Birmingham,1974-09-03,8,wickets
Australia,England,England,Melbourne,1975-01-01,3,wickets
New Zealand,England,no result,Dunedin,1975-03-08,,
New Zealand,England,no result,Wellington,1975-03-09,,
England,India,England,Lord's,1975-06-07,202,runs
East Africa,New Zealand,New Zealand,Birmingham,1975-06-07,181,runs
Australia,Pakistan,Australia,Leeds,1975-06-07,73,runs
Sri Lanka,West Indies,West Indies,Manchester,1975-06-07,9,wickets
England,New Zealand,England,Nottingham,1975-06-11,80,runs
East Africa,India,India,Leeds,1975-06-11,10,wickets
Australia,Sri Lanka,Australia,The Oval,1975-06-11,52,runs
Pakistan,West Indies,West Indies,Birmingham,1975-06-11,1,wicket
England,East Africa,England,Birmingham,1975-06-14,196,runs
India,New Zealand,New Zealand,Manchester,1975-06-14,4,wickets
Australia,West Indies,West Indies,The Oval,1975-06-14,7,wickets
Pakistan,Sri Lanka,Pakistan,Nottingham,1975-06-14,192,runs
England,Australia,Australia,Leeds,1975-06-18,4,wickets
New Zealand,West Indies,West Indies,The Oval,1975-06-18,5,wickets
Australia,West Indies,West Indies,Lord's,1975-06-21,17,runs
Australia,West Indies,Australia,Adelaide,1975-12-20,5,wickets
New Zealand,India,New Zealand,Christchurch,1976-02-21,9,wickets
New Zealand,India,New Zealand,Auckland,1976-02-22,80,runs
England,West Indies,West Indies,Scarborough,1976-08-26,6,wickets
England,West Indies,West Indies,Lord's,,36,runs
England,West Indies,West Indies,Birmingham,,50,runs
Pakistan,New Zealand,New Zealand,Sialkot,1976-10-16,1,run
West Indies,Pakistan,West Indies,Albion,1977-03-16,4,wickets
England,Australia,England,Manchester,1977-06-02,2,wickets
England,Australia,England,Birmingham,1977-06-04,101,runs
England,Australia,Australia,The Oval,1977-06-06,2,wickets
Pakistan,England,England,Sahiwal,1977-12-23,3,wickets
Pakistan,England,England,Sialkot,1977-12-30,6,wickets
Pakistan,England,Pakistan,Lahore,1978-01-13,36,runs
West Indies,Australia,West Indies,St John's,1978-02-22,44,runs
West Indies,Australia,Australia,Castries,1978-04-12,2,wickets
England,Pakistan,England,Manchester,,132,runs
England,Pakistan,England,The Oval,1978-05-26,94,runs
England,New Zealand,England,Scarborough,1978-07-15,19,runs
England,New Zealand,England,Manchester,1978-07-17,126,runs
Pakistan,India,India,Quetta,1978-10-01,4,runs
Pakistan,India,Pakistan,Sialkot,1978-10-13,8,wickets
Pakistan,India,Pakistan,Sahiwal,1978-11-03,,
Australia,England,no result,Sydney,1979-01-13,,
Australia,England,England,Melbourne,1979-01-24,7,wickets
Australia,England,Australia,Melbourne,1979-02-04,4,wickets
Australia,England,Australia,Melbourne,1979-02-07,6,wickets
India,West Indies,West Indies,Birmingham,1979-06-09,9,wickets
New Zealand,Sri Lanka,New Zealand,Nottingham,1979-06-09,9,wickets
England,Australia,England,Lord's,1979-06-09,6,wickets
Canada,Pakistan,Pakistan,Leeds,1979-06-09,8,wickets
India,New Zealand,New Zealand,Leeds,1979-06-13,8,wickets
Australia,Pakistan,Pakistan,Nottingham,,89,runs
England,Canada,England,Manchester,,8,wickets
India,Sri Lanka,Sri Lanka,Manchester,,47,runs
New Zealand,West Indies,West Indies,Nottingham,1979-06-16,32,runs
Australia,Canada,Australia,Birmingham,1979-06-16,7,wickets
England,Pakistan,England,Leeds,1979-06-16,14,runs
England,New Zealand,England,Manchester,1979-06-20,9,runs
Pakistan,West Indies,West Indies,The Oval,1979-06-20,43,runs
England,West Indies,West Indies,Lord's,1979-06-23,92,runs
Australia,West Indies,Australia,Sydney,1979-11-27,5,wickets
England,West Indies,England,Sydney,1979-11-28,2,runs
Australia,England,England,Melbourne,1979-12-08,3,wickets
Australia,West Indies,West Indies,Melbourne,1979-12-09,80,runs
Australia,England,England,Sydney,1979-12-11,72,runs
Australia,West Indies,Australia,Sydney,1979-12-21,7,runs
England,West Indies,West Indies,Brisbane,1979-12-23,9,wickets
Australia,England,England,Sydney,1979-12-26,4,wickets
Australia,England,England,Sydney,1980-01-14,2,wickets
England,West Indies,West Indies,Adelaide,1980-01-16,107,runs
Australia,West Indies,Australia,Sydney,1980-01-18,9,runs
England,West Indies,West Indies,Melbourne,1980-01-20,2,runs
England,West Indies,West Indies,Sydney,1980-01-22,8,wickets
New Zealand,West Indies,New Zealand,Christchurch,1980-02-06,1,wicket
England,West Indies,West Indies,Leeds,,24,runs
England,West Indies,England,Lord's,1980-05-30,3,wickets
England,Australia,England,The Oval,1980-08-20,23,runs
England,Australia,England,Birmingham,1980-08-22,47,runs
Pakistan,West Indies,West Indies,Karachi,1980-11-21,4,wickets
Australia,New Zealand,New Zealand,Adelaide,1980-11-23,3,wickets
Australia,New Zealand,Australia,Sydney,1980-11-25,94,runs
Pakistan,West Indies,West Indies,Sialkot,1980-12-05,7,wickets
Australia,India,India,Melbourne,1980-12-06,66,runs
Australia,New Zealand,Australia,Melbourne,1980-12-07,4,wickets
