Team 1,Team 2,Winner,Ground,Match Date,Margin Value,Margin Type
Australia,England,Australia,Melbourne,05-01-71,5,wickets
England,Australia,England,Manchester,24-08-72,6,wickets
England,Australia,Australia,Lord's,26-08-72,5,wickets
England,Australia,England,Birmingham,28-08-72,2,wickets
New Zealand,Pakistan,New Zealand,Christchurch,11-02-73,22,runs
England,New Zealand,England,Swansea,18-07-73,7,wickets
England,New Zealand,no result,Manchester,20-07-73,4,wickets
England,West Indies,England,Leeds,05-09-73,1,wicket
England,West Indies,West Indies,The Oval,07-09-73,8,wickets
New Zealand,Australia,Australia,Dunedin,30-03-74,7,wickets
New Zealand,Australia,Australia,Christchurch,31-03-74,31,runs
England,India,England,Leeds,13-07-74,4,wickets
England,Pakistan,Pakistan,Nottingham,31-08-74,7,wickets
England,Pakistan,Pakistan,Birmingham,03-09-74,8,wickets
Australia,England,England,Melbourne,01-01-75,3,wickets
New Zealand,England,no result,Dunedin,08-03-75,69,wickets
New Zealand,England,no result,Wellington,09-03-75,136,wickets
England,India,England,Lord's,07-06-75,202,runs
East Africa,New Zealand,New Zealand,Birmingham,07-06-75,181,runs
Australia,Pakistan,Australia,Leeds,07-06-75,73,runs
Sri Lanka,West Indies,West Indies,Manchester,07-06-75,9,wickets
England,New Zealand,England,Nottingham,11-06-75,80,runs
East Africa,India,India,Leeds,11-06-75,10,wickets
Australia,Sri Lanka,Australia,The Oval,11-06-75,52,runs
Pakistan,West Indies,West Indies,Birmingham,11-06-75,1,wicket
Australia,West Indies,West Indies,The Oval,14-06-75,7,wickets
Pakistan,Sri Lanka,Pakistan,Nottingham,14-06-75,192,runs
England,East Africa,England,Birmingham,14-06-75,196,runs
India,New Zealand,New Zealand,Manchester,14-06-75,4,wickets
New Zealand,West Indies,West Indies,The Oval,18-06-75,5,wickets
England,Australia,Australia,Leeds,18-06-75,4,wickets
Australia,West Indies,West Indies,Lord's,21-06-75,17,runs
Australia,West Indies,Australia,Adelaide,20-12-75,5,wickets
New Zealand,India,New Zealand,Christchurch,21-02-76,9,wickets
New Zealand,India,New Zealand,Auckland,22-02-76,80,runs
England,West Indies,West Indies,Scarborough,26-08-76,6,wickets
Pakistan,New Zealand,New Zealand,Sialkot,16-10-76,1,run
West Indies,Pakistan,West Indies,Albion,16-03-77,4,wickets
